label,text
spam,आपने ₹१०,००० जीत लिया है! अपने इनाम को तुरंत प्राप्त करने के लिए इस लिंक पर क्लिक करें।
spam,आज ₹५०,००० का बोनस जीतने का मौका है, जल्दी करें!
spam,आपका बर्थडे गिफ्ट ₹२०,००० का है! जल्दी से दावा करें।
spam,क्या आप ₹२५,००० जीतना चाहेंगे? इस लिंक पर क्लिक करें।
spam,आपने हमारी स्पर्धा में ₹१०,००० जीतने का मौका पाया है, क्लिक करें!
spam,आपके पास ₹१०,००० का गिफ्ट कार्ड है, इसे तुरंत प्राप्त करें।
spam,आपकी पॉलिसी में कोई गलती है! अपनी जानकारी को ठीक करें और ₹५,००० पाएं।
spam,आज ₹३०,००० जीतने का मौका है, जल्दी से अपनी जानकारी दें।
spam,आपका नया स्मार्टफोन ₹१५,००० जीतने का दावा करें, क्लिक करें।
spam,आपको ₹२०,००० का गिफ्ट कार्ड मिला है, इसे पाने के लिए जल्दी से क्लिक करें।
spam,आपने ₹१०,००० जीतने का अवसर प्राप्त किया है, क्लिक करें।
ham,तुम्हारा दिन कैसा रहा?
ham,क्या तुम कल मेरे घर आ सकते हो?
ham,मैं तुम्हारे साथ लंच करूंगा।
ham,क्या तुम मुझे अपना फोन नंबर भेज सकते हो?
ham,तुम्हारा प्रिय फिल्म कौन सी है?
ham,क्या तुमने अपना काम पूरा किया?
ham,रात को कुछ अच्छा खा सकते हैं।
ham,आपने इस सप्ताह की छुट्टियों का क्या किया?
ham,तुम्हारे पास कुछ महत्वपूर्ण समाचार हैं।
ham,मैं तुम्हारे साथ छुट्टी पर जाना चाहता हूँ।
ham,क्या तुमने अपना नया मोबाइल लिया है?
ham,आज का मौसम बहुत अच्छा है।
ham,कल छुट्टी पर चलें?
ham,तुमने मेरा संदेश देखा था?
ham,हमारा प्रोजेक्ट पूरा होने वाला है।
ham,मैं तुमसे बाद में बात करूंगा।
ham,तुमने अपनी कार सर्विस करवाई है क्या?
ham,तुम्हारी मीटिंग कैसे रही?
ham,किसी ने तुम्हारा संदेश देखा था?
ham,तुम्हारे पास मेरे लिए कोई अच्छा सुझाव है क्या?
ham,तुम्हारे ऑफिस का क्या हाल है?
ham,मुझे तुमसे कुछ जरूरी बात करनी है।
ham,आज पार्टी है, क्या तुम आ रहे हो?
ham,तुमने छुट्टियों का प्लान किया है?
ham,तुमने अपने दांतों का इलाज कराया है?
ham,तुमने मेरी कॉल का जवाब क्यों नहीं दिया?
ham,तुम्हारी नौकरी कैसी चल रही है?
ham,तुम कहां जा रहे हो?
