label,text
spam,तुम्ही ₹५,००० जिंकलात! आपल्या खात्यात पैसे प्राप्त करण्यासाठी त्वरित येथे क्लिक करा.
spam,आजच ₹१००० साठी नोंदणी करा आणि ₹५००० प्राप्त करा.
spam,आपल्याला नवीन स्मार्टफोन बक्षीस म्हणून मिळाले आहे. २४ तासांत claim करा!
spam,तुमच्या पॉलिसीमध्ये धोका आहे. ताबडतोब माहिती अपडेट करा.
spam,तुम्ही ₹१०,००० जिंकले! आपल्या बक्षीसाची प्राप्ती करण्यासाठी लिंकवर क्लिक करा.
spam,आपल्या बँक खात्याशी संबंधित सुरक्षा तपासणी पूर्ण करण्यासाठी कृपया लिंकवर क्लिक करा.
spam,₹१,००,००० जिंकलात! आपला दावा करण्यासाठी आपली माहिती भरून पूर्ण करा.
spam,तुमचं ₹२५,००० बक्षीस तयार आहे. बक्षीस मिळवण्यासाठी खाली दिलेल्या लिंकवर क्लिक करा.
spam,आज रात्री ९ वाजेपर्यंत एक अनोखी ऑफर आहे. ₹५००० मिळवा!
spam,कृपया आपल्या खाते तपशीलांची पुष्टी करा आणि ₹२०,००० मिळवा.
spam,तुम्ही ₹१५,००० जिंकलात! आपला बक्षीस दावा करण्यासाठी लगेच लिंकवर क्लिक करा.
spam,तुम्ही एका स्पर्धेत जिंकले आहेत! आपल्याला ₹१०,००० मिळतील.
spam,तुमचं नाव विजेत्यांमध्ये आहे! कृपया त्वरित तपशील भरून बक्षीस मिळवा.
spam,तुमच्यासाठी एक गुप्त ऑफर आहे! आपला ₹१००० बक्षीस दावेकरिता क्लिक करा.
spam,तुम्ही बक्षीस जिंकलात! कृपया त्वरित आपली माहिती भरा.
spam,तुम्ही आपल्या ईमेलवर स्पर्धा जिंकली आहे. आपला ₹१०,००० बक्षीस आजच प्राप्त करा.
spam,नवीन ₹५००० ऑफर मिळवण्यासाठी क्लिक करा!
spam,आपल्या बँक खात्याला लिंक करण्यासाठी आपल्याला ₹१००० मिळतील.
spam,आपण ₹२०,००० जिंकले! बक्षीस प्राप्त करण्यासाठी खाली क्लिक करा.
spam,₹१००० इनाम मिळवण्यासाठी आपल्या संपर्क माहितीची पुष्टी करा.
spam,आपला व्हॉट्सअ‍ॅप बक्षीस आजच claim करा. लिंकवर क्लिक करा!
spam,आपल्या खात्यात ₹२०,००० जमा झाले आहेत. तपासणीसाठी क्लिक करा.
spam,₹१०,००० इनाम मिळवण्यासाठी आम्ही आपल्याला निवडलं आहे. अधिक माहितीसाठी लिंकवर क्लिक करा.
spam,तुम्ही ₹१५,००० जिंकले आहे. इथे क्लिक करा.
spam,तुम्ही जिंकले! बक्षीस दावेकरिता त्वरित लिंकवर क्लिक करा.
spam,आपल्या खात्यात ₹५,००० जमा झाले आहेत. तपासणीसाठी लिंकवर क्लिक करा.
spam,तुमच्या बँकेला दिलेल्या तपशिलांची पुष्टी करा आणि ₹१०,००० मिळवा.
spam,स्पर्धेतील विजेता होण्यासाठी आपली माहिती भरा.
spam,तुम्ही ₹५०,००० जिंकले! कृपया त्वरित तपशील भरा.
spam,तुमचं बक्षीस ₹१०,००० आहे. Claim करण्यासाठी लिंकवर क्लिक करा.
spam,तुम्ही जिंकले आहे! आपला ₹२५,००० बक्षीस दावेकरिता क्लिक करा.
ham,आपल्या कुटुंबाच्या घरी सुट्टीला कधी येत आहात?
ham,मी आपल्या फोन नंबरचा वापर करुन कनेक्ट करू इच्छित आहे.
ham,आपण उद्या सहलीला जाऊ इच्छिता का?
ham,रवीला उद्या भेटायला चल.
ham,माझ्या मित्रांना एक फोन नंबर द्या, मी त्यांना कॉल करीन.
ham,तुमचं काम थोडं उशीर होतंय का?
ham,आपण एक छान चित्र काढले आहे, आणखी काही काढू इच्छिता का?
ham,मी तुमच्याकडून ३०० रुपये घेणे विसरलो आहे, कृपया लवकर करा.
ham,आपल्या दिवाळी गिफ्टची लिस्ट तयार आहे का?
ham,तुम्ही लोकांच्या संपर्कात रहा. मला तुमच्याशी काही बोलायचं आहे.
ham,तुम्ही अजून विचार करीत आहात का? 
ham,स्मार्टफोन नवा घेतला का? 
ham,आपण गॅरेजचे काम पूर्ण केलं का?
ham,माझ्या प्रोजेक्टसाठी एखादे रिसोर्स मिळवायला मदत करा.
ham,तुमचं ऑफिस योग्य वेळेत सुरू होईल, नंतर भेटूया.
ham,आपण वेब डेव्हलपमेंटचा कोर्स पूर्ण केला का?
ham,तुमचं नवे पुस्तक तयार आहे का?
ham,आज काही स्पेशल प्लॅन आहे का?
ham,आतापर्यंत सोबत राहिल्या बद्दल धन्यवाद.
ham,संकटावर काम करत आहोत, लवकरच पूर्ण करू.
ham,आता तुम्हाला त्या वर्कशॉपमध्ये पक्कं स्थान मिळाले आहे.
ham,तुमच्याकडे नवा ऑफिस फोन आहे का?
ham,तुम्ही स्वच्छता मोहिमेला चालण्यास तयार आहात का?
ham,आपल्या मित्रासाठी काही शॉपिंग करू इच्छिता का?
ham,तुम्ही नवीन ड्रेस खरेदी केला का?
ham,तुम्ही कारच्या मागे बसाल का?
ham,कधी हॉलिडे प्लॅनिंग करणार आहेस?
ham,तुमच्या मोबाईल नंबर बदलला आहे का?
ham,माझ्या कॉलमध्ये बसण्यासाठी वेळ दे, आम्ही सिस्टीम अपडेट करणार आहोत.
ham,तुमचं तंत्रज्ञान किंवा सायबर सिक्योरिटी कोर्स कसा आहे?
ham,या आठवड्यात तुमचं ऑफिसमध्ये काय खास आहे?
ham,तुम्ही कुठे फिरायला जाऊ इच्छिता?
ham,तुमचं वेब डेव्हलपमेंटचं काम कसं सुरु आहे?
