label,text
spam,لقد فزت بمبلغ 1000€! انقر هنا للمطالبة بجائزتك.
spam,مبروك! لقد فزت بهاتف ذكي من أحدث طراز. قم بالمطالبة الآن.
spam,حسابك في خطر. انقر لتحديث معلوماتك.
spam,لقد فزت بمسابقة 5000€! قم بالمطالبة بجائزتك الآن.
spam,احصل على قسيمة 200€ فورًا! انقر هنا.
spam,تم تعليق حسابك المصرفي. انقر لإعادة تفعيله.
spam,لقد تم اختيارك للحصول على جائزة بقيمة 1000€. انقر هنا.
spam,استفد الآن! احصل على خصم حصري يصل إلى 50%. انقر هنا.
spam,مبروك! لقد فزت برحلة مجانية. انقر للحصول على التفاصيل.
spam,فاتورتك على وشك الانتهاء. انقر لتجنب الرسوم الإضافية.
spam,احصل على 300€ مجانًا! انقر على الرابط أدناه.
spam,لديك رسالة جديدة! انقر هنا لقراءتها.
spam,لقد فزت بجائزة 500€! انقر للمطالبة بها.
spam,لقد فزت بمليون يورو! قم بالمطالبة بجائزتك الآن.
spam,لديك رسالة هامة! انقر للحصول على المزيد من التفاصيل.
spam,تم حظر حسابك على أمازون. انقر لفتحه.
spam,لقد فزت بسيارة جديدة! انقر للمطالبة بها.
spam,مبروك! تم اختيارك للحصول على iPhone 12.
spam,تم تعليق حسابك على PayPal. انقر لاسترجاعه.
spam,لقد تم اختيارك للحصول على قسيمة 1000€. انقر للمطالبة بها.
spam,تم اختراق حسابك المصرفي. انقر لحمايته.
spam,لقد فزت برحلة شاملة التكلفة! انقر للحصول على التفاصيل.
spam,احصل على 200€ مجانًا! انقر هنا للاستفادة.
spam,تم حظر بطاقتك الائتمانية! انقر لحل المشكلة.
spam,لقد فزت بمبلغ 5000€! انقر هنا للمطالبة بجائزتك.
spam,احصل على قسيمة 100€ عند التسجيل اليوم!
spam,مبروك! تم اختيارك للحصول على قسيمة حصرية.
spam,حسابك مهدد. انقر لتحديث كلمة مرورك.
spam,لقد فزت بهاتف جديد! انقر للمطالبة به.
spam,احصل على خصم حصري اليوم فقط! انقر هنا.
spam,مبروك! لقد فزت بقسيمة هدية بقيمة 200€.
spam,تم حظر حسابك على PayPal! انقر لإلغاء حظره.
spam,لقد فزت بمبلغ 1000€! انقر هنا للمطالبة به.
ham,كيف حالك اليوم؟ هل نلتقي في المساء؟
ham,نلتقي في الساعة 10 للاجتماع.
ham,هل لديك خطط
