Category,Message
spam,¡Gana dinero rápido ahora! Haz clic en el enlace.
spam,¡Has ganado un premio! Reclámalo aquí.
spam,Ofrecemos préstamos rápidos. ¡Solicítalos ahora!
spam,Haz clic en este enlace para recibir un regalo gratuito.
ham,¿Me avisas cuando llegues a casa?
ham,Te enviaré los documentos pronto.
ham,¿Quieres salir a caminar este fin de semana?
ham,Nos vemos en la reunión de mañana.
spam,आपने एक बडी राशि जीती है! अभी दावा करें।
spam,जल्द पैसे कमाने का मौका! इस लिंक पर क्लिक करें।
spam,आपका खाता ब्लॉक हो गया है। इसे पुनः सक्रिय करने के लिए क्लिक करें।
spam,यह एक विशेष ऑफर है! आज ही ऑफर का लाभ उठाएं।
ham,तुम कब घर पहुँचोगे?
ham,क्या तुम आज ऑफिस आओगे?
ham,क्या तुम्हें कल की मीटिंग के बारे में जानकारी है?
ham,तुमने क्या खाया आज?
spam,तुम्ही बक्षिस जिंकले आहे! आजच दावे करा.
spam,तुरंत पैसे मिळविण्यासाठी क्लिक करा.
spam,तुम्हाला मोबाईल फोन फ्री मध्ये मिळविण्याची संधी आहे!
spam,तुम्ही 50% डिस्काउंट मिळवू शकता! या लिंकवर क्लिक करा.
ham,तुम्ही किती वाजता घरी पोहोचणार आहात?
ham,तुम्ही आज ऑफिसमध्ये येणार का?
ham,तुम्हाला कलचा काम पूर्ण करायचं आहे का?
ham,तुम्ही सर्वांत चांगले कधी होतात?
spam,Félicitations, vous avez gagné un prix! Cliquez ici pour le récupérer.
spam,Profitez de cette offre exclusive maintenant!
spam,Recevez un prêt instantané en cliquant ici.
spam,C'est votre dernière chance de réclamer votre offre!
ham,Tu viens à la réunion demain?
ham,Je vais t'envoyer les documents sous peu.
ham,J'espère que tout va bien de ton côté.
ham,Tu veux aller au cinéma ce soir?
spam,Herzlichen Glückwunsch! Sie haben ein großes Preisgeld gewonnen!
spam,Sichern Sie sich ein kostenloses Smartphone mit diesem Angebot!
spam,Klicken Sie hier, um Ihr Online-Konto zu bestätigen.
spam,Erhalten Sie einen schnellen Kredit, indem Sie hier klicken.
ham,Wann kommst du morgen zur Arbeit?
ham,Ich werde dir das Dokument später senden.
ham,Wir sehen uns morgen bei der Besprechung.
ham,Wie war dein Wochenende?
spam,Поздравляем! Вы выиграли крупный приз. Заберите его здесь.
spam,Преобразуйте ваш кредит с огромной скидкой!
spam,Кликните здесь, чтобы активировать ваш аккаунт.
spam,Получите быстрые деньги прямо сейчас! Кликните сюда.
ham,Ты будешь на встрече завтра?
ham,Когда ты приедешь домой?
ham,Я отправлю тебе документы сегодня.
ham,Что нового у тебя?
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,U dun say so early hor... U c already then say...
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
